humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,skeptic_fraction,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.7033333333333334,0.94,0.36666666666666664,0.48,109,6,0.0,0.5,0.0,0.0,3,10,True
300,0.6466666666666666,0.9133333333333333,0.22666666666666666,0.6133333333333333,93,6,0.0,0.5,0.0,0.0,3,11,True
300,0.6,0.8866666666666667,0.17666666666666667,0.6633333333333333,101,6,0.0,0.5,0.0,0.0,3,12,True
300,0.6566666666666666,0.91,0.19666666666666666,0.66,110,5,0.0,0.5,0.0,0.0,3,13,True
300,0.75,0.9666666666666667,0.3466666666666667,0.55,125,6,0.0,0.5,0.0,0.0,3,14,True
300,0.54,0.7833333333333333,0.24666666666666667,0.48,68,6,0.0,0.5,0.0,0.0,3,15,True
300,0.5866666666666667,0.88,0.18333333333333332,0.6066666666666667,94,4,0.0,0.5,0.0,0.0,3,16,True
300,0.45666666666666667,0.7466666666666667,0.19333333333333333,0.5,62,6,0.0,0.5,0.0,0.0,3,17,True
300,0.6033333333333334,0.9,0.26,0.5566666666666666,100,5,0.0,0.5,0.0,0.0,3,18,True
300,0.56,0.8933333333333333,0.22666666666666666,0.5666666666666667,83,5,0.0,0.5,0.0,0.0,3,19,True
300,0.5166666666666667,0.79,0.20333333333333334,0.5166666666666667,66,5,0.0,0.5,0.0,0.0,3,20,True
300,0.5133333333333333,0.82,0.19666666666666666,0.5266666666666666,75,7,0.0,0.5,0.0,0.0,3,21,True
300,0.6333333333333333,0.89,0.25,0.5666666666666667,98,6,0.0,0.5,0.0,0.0,3,22,True
300,0.6333333333333333,0.9033333333333333,0.2733333333333333,0.56,82,5,0.0,0.5,0.0,0.0,3,23,True
300,0.6833333333333333,0.96,0.21666666666666667,0.6666666666666666,120,5,0.0,0.5,0.0,0.0,3,24,True
300,0.6866666666666666,0.9366666666666666,0.24,0.6133333333333333,112,5,0.0,0.5,0.0,0.0,3,25,True
