humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,network,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.11666666666666667,0.49666666666666665,0.07333333333333333,0.19,13,11,scale_free,0.2,0.0,0.0,3,2,False
300,0.15333333333333332,0.5433333333333333,0.08666666666666667,0.23333333333333334,13,9,scale_free,0.2,0.0,0.0,3,3,False
300,0.13333333333333333,0.49333333333333335,0.09333333333333334,0.16333333333333333,7,13,scale_free,0.2,0.0,0.0,3,4,False
300,0.013333333333333334,0.05,0.013333333333333334,0.0033333333333333335,4,2,scale_free,0.2,0.0,0.0,3,5,False
300,0.17333333333333334,0.63,0.08,0.33,23,6,scale_free,0.2,0.0,0.0,3,6,False
300,0.05,0.21333333333333335,0.03666666666666667,0.05,6,8,scale_free,0.2,0.0,0.0,3,7,False
300,0.20333333333333334,0.6333333333333333,0.09,0.37,21,4,scale_free,0.2,0.0,0.0,3,8,True
300,0.023333333333333334,0.09,0.01,0.03666666666666667,5,2,scale_free,0.2,0.0,0.0,3,9,False
300,0.18333333333333332,0.6033333333333334,0.13666666666666666,0.22,14,6,scale_free,0.2,0.0,0.0,3,10,False
300,0.12666666666666668,0.44333333333333336,0.07666666666666666,0.2,12,6,scale_free,0.2,0.0,0.0,3,11,False
300,0.13333333333333333,0.5233333333333333,0.06666666666666667,0.25666666666666665,17,6,scale_free,0.2,0.0,0.0,3,12,False
300,0.02666666666666667,0.11,0.006666666666666667,0.06,4,2,scale_free,0.2,0.0,0.0,3,13,False
300,0.16333333333333333,0.5733333333333334,0.08666666666666667,0.25333333333333335,18,8,scale_free,0.2,0.0,0.0,3,14,False
300,0.02,0.06,0.016666666666666666,0.01,4,1,scale_free,0.2,0.0,0.0,3,15,False
300,0.12666666666666668,0.49,0.04,0.30666666666666664,17,4,scale_free,0.2,0.0,0.0,3,16,False
300,0.04,0.17333333333333334,0.03666666666666667,0.023333333333333334,6,2,scale_free,0.2,0.0,0.0,3,17,False
300,0.18666666666666668,0.6533333333333333,0.09,0.30333333333333334,21,8,scale_free,0.2,0.0,0.0,3,18,False
300,0.16,0.49333333333333335,0.1,0.15666666666666668,11,5,scale_free,0.2,0.0,0.0,3,19,False
300,0.19333333333333333,0.61,0.11,0.2633333333333333,24,5,scale_free,0.2,0.0,0.0,3,20,False
300,0.02,0.08,0.02,0.0033333333333333335,4,1,scale_free,0.2,0.0,0.0,3,21,False
300,0.18666666666666668,0.6033333333333334,0.12,0.22333333333333333,22,6,scale_free,0.2,0.0,0.0,3,22,False
300,0.16333333333333333,0.5333333333333333,0.11666666666666667,0.21333333333333335,25,5,scale_free,0.2,0.0,0.0,3,23,False
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.2,0.0,0.0,3,24,False
300,0.14,0.44333333333333336,0.06,0.23333333333333334,25,7,scale_free,0.2,0.0,0.0,3,25,False
300,0.13666666666666666,0.5333333333333333,0.06,0.2833333333333333,15,5,scale_free,0.2,0.0,0.0,3,26,False
300,0.18666666666666668,0.6,0.13,0.23333333333333334,22,7,scale_free,0.2,0.0,0.0,3,27,False
300,0.14666666666666667,0.44666666666666666,0.09,0.18666666666666668,15,8,scale_free,0.2,0.0,0.0,3,28,False
300,0.20333333333333334,0.6833333333333333,0.1,0.28,24,7,scale_free,0.2,0.0,0.0,3,29,True
300,0.24666666666666667,0.7166666666666667,0.13,0.43333333333333335,31,7,scale_free,0.225,0.0,0.0,3,0,True
300,0.08666666666666667,0.31333333333333335,0.043333333333333335,0.13333333333333333,8,2,scale_free,0.225,0.0,0.0,3,1,False
300,0.17,0.53,0.1,0.19,12,14,scale_free,0.225,0.0,0.0,3,2,False
300,0.12666666666666668,0.4666666666666667,0.06333333333333334,0.22333333333333333,14,9,scale_free,0.225,0.0,0.0,3,3,False
300,0.16666666666666666,0.51,0.10333333333333333,0.17,14,9,scale_free,0.225,0.0,0.0,3,4,False
300,0.23666666666666666,0.6866666666666666,0.15666666666666668,0.24333333333333335,36,11,scale_free,0.225,0.0,0.0,3,5,True
300,0.21,0.6733333333333333,0.09,0.33,30,7,scale_free,0.225,0.0,0.0,3,6,True
300,0.11666666666666667,0.37666666666666665,0.08666666666666667,0.11,7,8,scale_free,0.225,0.0,0.0,3,7,False
300,0.10333333333333333,0.4166666666666667,0.043333333333333335,0.19666666666666666,15,3,scale_free,0.225,0.0,0.0,3,8,False
300,0.02666666666666667,0.09666666666666666,0.013333333333333334,0.03666666666666667,5,2,scale_free,0.225,0.0,0.0,3,9,False
300,0.22,0.64,0.10333333333333333,0.3233333333333333,28,7,scale_free,0.225,0.0,0.0,3,10,True
300,0.20666666666666667,0.59,0.10666666666666667,0.29333333333333333,25,9,scale_free,0.225,0.0,0.0,3,11,True
300,0.23,0.6933333333333334,0.12,0.36666666666666664,34,5,scale_free,0.225,0.0,0.0,3,12,True
300,0.12,0.43666666666666665,0.06666666666666667,0.16,14,6,scale_free,0.225,0.0,0.0,3,13,False
300,0.16666666666666666,0.58,0.09,0.26,18,8,scale_free,0.225,0.0,0.0,3,14,False
300,0.02,0.06,0.016666666666666666,0.01,4,1,scale_free,0.225,0.0,0.0,3,15,False
300,0.20666666666666667,0.62,0.09666666666666666,0.3333333333333333,30,5,scale_free,0.225,0.0,0.0,3,16,True
300,0.04,0.17333333333333334,0.03666666666666667,0.023333333333333334,6,2,scale_free,0.225,0.0,0.0,3,17,False
300,0.20666666666666667,0.6466666666666666,0.11,0.3433333333333333,24,8,scale_free,0.225,0.0,0.0,3,18,True
300,0.18,0.48333333333333334,0.11666666666666667,0.19333333333333333,15,9,scale_free,0.225,0.0,0.0,3,19,False
300,0.16,0.5233333333333333,0.05,0.33666666666666667,25,4,scale_free,0.225,0.0,0.0,3,20,False
300,0.02,0.08,0.02,0.0033333333333333335,4,1,scale_free,0.225,0.0,0.0,3,21,False
300,0.18,0.6333333333333333,0.1,0.3333333333333333,24,6,scale_free,0.225,0.0,0.0,3,22,False
300,0.29333333333333333,0.7333333333333333,0.20333333333333334,0.28,31,6,scale_free,0.225,0.0,0.0,3,23,True
